Date,New Cases,Negative,Tests,Mean Positivity,Var Positivity,Updated,UpdateVar,LCL,UCL,Infections,ILCL,ULCL,CumulativeDetected,Infectivity,InfectivityL,InfectivityU
8/18/2020,14,148,162,0.086419753,0.000487354,0.086419753,0.000487354,0.085464556,0.08737495,1556,1538,1573,14,0.009841143,0.009945433,0.009744861
8/19/2020,22,132,154,0.142857143,0.000795123,0.107866523,0.000302155,0.107274311,0.108458735,1942,1931,1952,36,0.012673164,0.012736632,0.012616096
8/20/2020,10,95,105,0.095238095,0.000820646,0.10446811,0.000220842,0.104035267,0.104900954,1880,1873,1888,46,0.005924318,0.005943878,0.005902144
8/21/2020,24,165,189,0.126984127,0.000586556,0.110626767,0.000160437,0.110312316,0.110941217,1991,1986,1997,70,0.013500693,0.013530457,0.013465177
8/22/2020,34,105,139,0.244604317,0.001329302,0.125055425,0.000143159,0.124774839,0.125336011,2251,2246,2256,104,0.017163522,0.017196272,0.017130921
8/23/2020,97,323,420,0.230952381,0.000422889,0.151837744,0.000106953,0.151628121,0.152047367,2733,2729,2737,201,0.041378429,0.041428225,0.041328785
8/24/2020,72,254,326,0.220858896,0.000527854,0.163466472,8.89331E-05,0.163292167,0.163640778,2942,2939,2946,273,0.028810963,0.028834628,0.02877949
8/26/2020,80,386,466,0.17167382,0.000305154,0.165318612,6.88637E-05,0.165183641,0.165453582,2976,2973,2978,353,0.031574928,0.03160048,0.031557924
8/27/2020,57,18,75,0.76,0.002432,0.18169374,6.69675E-05,0.181562487,0.181824994,3270,3268,3273,410,0.02081566,0.020825572,0.020800817
8/28/2020,102,311,413,0.246973366,0.000450309,0.190144954,5.82978E-05,0.190030692,0.190259215,3423,3421,3425,512,0.035749112,0.035765105,0.03573314
8/29/2020,234,892,1126,0.207815275,0.000146206,0.195182218,4.16789E-05,0.195100529,0.195263907,3513,3512,3515,746,0.079332117,0.079349228,0.079297925
8/30/2020,187,518,705,0.265248227,0.000276442,0.204361973,3.62183E-05,0.204290986,0.204432959,3679,3677,3680,933,0.060575312,0.060599798,0.060563081
8/31/2020,39,84,123,0.317073171,0.00176047,0.206634045,3.54882E-05,0.206564489,0.2067036,3719,3718,3721,972,0.012503841,0.012506329,0.012498871
9/1/2020,51,196,247,0.206477733,0.000663339,0.206626107,3.3686E-05,0.206560083,0.20669213,3719,3718,3720,1023,0.016302204,0.016305447,0.016298963
9/2/2020,87,350,437,0.199084668,0.000364874,0.20598871,3.08389E-05,0.205928267,0.206049153,3708,3707,3709,1110,0.027727848,0.027733388,0.027722312
9/3/2020,68,520,588,0.115646259,0.000173932,0.192382989,2.61945E-05,0.192331648,0.192434329,3463,3462,3464,1178,0.022722665,0.022727665,0.022717668
9/4/2020,105,533,638,0.164576803,0.000215504,0.18936944,2.33556E-05,0.189323664,0.189415216,3409,3408,3409,1283,0.035288694,0.035296629,0.035288694
9/5/2020,12,81,93,0.129032258,0.001208419,0.188225389,2.29128E-05,0.188180481,0.188270298,3388,3387,3389,1295,0.004049251,0.004050169,0.004048333
9/6/2020,20,107,127,0.157480315,0.001044726,0.187565565,2.2421E-05,0.18752162,0.187609509,3376,3375,3377,1315,0.00675908,0.00676062,0.006757541
9/7/2020,4,68,72,0.055555556,0.000728738,0.183625253,2.17518E-05,0.18358262,0.183667885,3305,3304,3306,1319,0.001373855,0.001374178,0.001373533
9/9/2020,6,20,26,0.230769231,0.006827492,0.183774972,2.16827E-05,0.183732475,0.18381747,3308,3307,3309,1325,0.002058594,0.002059076,0.002058112
9/10/2020,10,134,144,0.069444444,0.000448763,0.178505512,2.06834E-05,0.178464973,0.17854605,3213,3212,3214,1335,0.003507636,0.003508491,0.003506782
