Date,Total Daily Tests Results
7/6/2020,99
7/7/2020,236
7/8/2020,598
7/9/2020,719
7/10/2020,730
7/13/2020,669
7/14/2020,628
7/15/2020,538
7/16/2020,617
7/17/2020,725
7/20/2020,840
7/21/2020,507
7/22/2020,632
7/23/2020,752
7/24/2020,838
7/27/2020,835
7/28/2020,741
7/29/2020,745
7/30/2020,736
7/31/2020,1058
8/3/2020,1896
8/4/2020,1759
8/5/2020,1405
8/6/2020,1823
8/7/2020,2509
8/10/2020,4110
8/11/2020,3610
8/12/2020,2438
8/15/2020,1636
8/16/2020,2453
8/17/2020,9064
8/18/2020,6162
8/19/2020,6300
8/20/2020,10742
8/21/2020,10877
8/22/2020,3326
8/23/2020,4474
8/24/2020,17656
8/25/2020,15850
8/26/2020,6812
8/27/2020,15123
8/28/2020,15030
8/29/2020,2895
8/30/2020,3640
8/31/2020,17227
9/1/2020,14367
9/2/2020,7089
9/3/2020,14841
9/4/2020,14204
9/5/2020,2609
9/6/2020,2987
9/7/2020,6299
9/8/2020,11621
