Date,Cases,Negative,Tests,Positivity,VarP,PL,PU,Updated,VarUpdated,UL,UU
8/10/2020,1,949,950,0.001052632,1.10687E-06,0.001050462,0.001054801,0.001052632,1.10687E-06,0.001050462,0.001054801
8/11/2020,1,949,950,0.001052632,1.10687E-06,0.001050462,0.001054801,0.001052632,5.53433E-07,0.001051547,0.001053716
8/12/2020,8,942,950,0.008421053,8.78962E-06,0.008403825,0.00843828,0.001489098,5.20651E-07,0.001488078,0.001490119
8/13/2020,17,933,950,0.017894737,1.84995E-05,0.017858479,0.017930995,0.001938181,5.06399E-07,0.001937188,0.001939173
8/14/2020,31,919,950,0.032631579,3.32282E-05,0.032566453,0.032696705,0.002398928,4.98797E-07,0.00239795,0.002399905
8/15/2020,30,920,950,0.031578947,3.21913E-05,0.031515854,0.031642041,0.002844167,4.91186E-07,0.002843204,0.00284513
8/16/2020,47,903,950,0.049473684,4.95011E-05,0.049376664,0.049570705,0.003302313,4.8636E-07,0.00330136,0.003303267
8/17/2020,42,1708,1750,0.024,1.33851E-05,0.023973766,0.024026234,0.004028012,4.69308E-07,0.004027092,0.004028932
8/18/2020,71,1679,1750,0.040571429,2.22431E-05,0.040527833,0.040615024,0.004783111,4.5961E-07,0.00478221,0.004784012
8/19/2020,91,1659,1750,0.052,2.81691E-05,0.051944789,0.052055211,0.005541138,4.52232E-07,0.005540252,0.005542025
8/20/2020,89,1661,1750,0.050857143,2.75833E-05,0.050803081,0.050911205,0.006272116,4.44937E-07,0.006271244,0.006272989
8/21/2020,83,1667,1750,0.047428571,2.58166E-05,0.047377972,0.047479171,0.00696941,4.37398E-07,0.006968553,0.006970267
8/22/2020,77,1673,1750,0.044,2.40366E-05,0.043952889,0.044047111,0.00763122,4.29581E-07,0.007630378,0.007632062
8/23/2020,58,1692,1750,0.033142857,1.83111E-05,0.033106968,0.033178746,0.008216008,4.19734E-07,0.008215186,0.008216831
8/24/2020,78,572,650,0.12,0.000162462,0.119681581,0.120318419,0.008504068,4.18653E-07,0.008503248,0.008504889
8/25/2020,53,597,650,0.081538462,0.000115215,0.081312644,0.081764279,0.008768489,4.17137E-07,0.008767672,0.008769307
8/26/2020,33,617,650,0.050769231,7.41411E-05,0.050623917,0.050914545,0.009003474,4.14803E-07,0.009002661,0.009004287
8/27/2020,26,624,650,0.04,5.90769E-05,0.039884211,0.040115789,0.009219596,4.11911E-07,0.009218789,0.009220403
8/28/2020,50,600,650,0.076923077,0.00010924,0.076708971,0.077137183,0.009473926,4.10364E-07,0.009473122,0.009474731
8/29/2020,21,629,650,0.032307692,4.80983E-05,0.032213421,0.032401963,0.009667091,4.06892E-07,0.009666293,0.009667888
8/30/2020,4,646,650,0.006153846,9.40919E-06,0.006135404,0.006172288,0.009521461,3.90026E-07,0.009520697,0.009522226
8/31/2020,11,639,650,0.016923077,2.55949E-05,0.016872912,0.016973242,0.009632557,3.84172E-07,0.009631804,0.00963331
9/1/2020,16,234,250,0.064,0.000239616,0.063530361,0.064469639,0.009719584,3.83557E-07,0.009718832,0.009720336
9/2/2020,8,242,250,0.032,0.000123904,0.031757153,0.032242847,0.009788342,3.82373E-07,0.009787593,0.009789092
9/3/2020,10,240,250,0.04,0.0001536,0.03969895,0.04030105,0.009863365,3.81423E-07,0.009862617,0.009864112
9/4/2020,4,246,250,0.016,0.000062976,0.015876569,0.016123431,0.009900308,3.79127E-07,0.009899565,0.009901051
9/5/2020,2,248,250,0.008,0.000031744,0.007937783,0.008062217,0.00987788,3.74653E-07,0.009877146,0.009878615
9/6/2020,1,249,250,0.004,0.000015936,0.003968766,0.004031234,0.009742866,3.66047E-07,0.009742149,0.009743584
9/7/2020,1,249,250,0.004,0.000015936,0.003968766,0.004031234,0.009613916,3.57828E-07,0.009613215,0.009614617
9/8/2020,9,241,250,0.036,0.000138816,0.035727926,0.036272074,0.009681757,3.56908E-07,0.009681057,0.009682456
9/9/2020,4,246,250,0.016,0.000062976,0.015876569,0.016123431,0.009717363,3.54896E-07,0.009716667,0.009718058
,,,,,,,,,,,
